"batch_id","run_id","agent_name","file","line","react_event","invocation","cycle","cycle_timestamp","strategy_id","trace_id","top_action","stop","reason","target","situation_type","trigger","current_resource","target_resource","failed_action","evaluations","suggestions","no_help","opportunistic_guidance","result_type","action_type","action_target","confidence","evaluation_time_ms","has_opportunistic_guidance","no_help_reason","rationale","matched_entries","active_entries"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","8","react.ccrs.contingency.escalation.considered","","1",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","9","react.ccrs.contingency.escalation.skipped","","1",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","28","react.ccrs.contingency.escalation.considered","","2",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","29","react.ccrs.contingency.escalation.skipped","","2",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","40","react.ccrs.contingency.escalation.considered","","3",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","41","react.ccrs.contingency.escalation.skipped","","3",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","106","react.ccrs.contingency.escalation.considered","","4",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","107","react.ccrs.contingency.escalation.skipped","","4",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","118","react.ccrs.contingency.escalation.considered","","5",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","119","react.ccrs.contingency.escalation.skipped","","5",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","184","react.ccrs.contingency.escalation.considered","","6",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","185","react.ccrs.contingency.escalation.skipped","","6",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","196","react.ccrs.contingency.escalation.considered","","7",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","197","react.ccrs.contingency.escalation.skipped","","7",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","262","react.ccrs.contingency.escalation.considered","","8",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","263","react.ccrs.contingency.escalation.skipped","","8",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","274","react.ccrs.contingency.escalation.considered","","9",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","275","react.ccrs.contingency.escalation.skipped","","9",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","340","react.ccrs.contingency.escalation.considered","","10",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","341","react.ccrs.contingency.escalation.skipped","","10",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","352","react.ccrs.contingency.escalation.considered","","11",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","353","react.ccrs.contingency.escalation.skipped","","11",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","418","react.ccrs.contingency.escalation.considered","","12",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","419","react.ccrs.contingency.escalation.skipped","","12",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","430","react.ccrs.contingency.escalation.considered","","13",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","431","react.ccrs.contingency.escalation.skipped","","13",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","496","react.ccrs.contingency.escalation.considered","","14",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","497","react.ccrs.contingency.escalation.skipped","","14",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","508","react.ccrs.contingency.escalation.considered","","15",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","509","react.ccrs.contingency.escalation.skipped","","15",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","574","react.ccrs.contingency.escalation.considered","","16",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","575","react.ccrs.contingency.escalation.skipped","","16",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","586","react.ccrs.contingency.escalation.considered","","17",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","587","react.ccrs.contingency.escalation.skipped","","17",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","652","react.ccrs.contingency.escalation.considered","","18",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","653","react.ccrs.contingency.escalation.skipped","","18",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","664","react.ccrs.contingency.escalation.considered","","19",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","665","react.ccrs.contingency.escalation.skipped","","19",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","730","react.ccrs.contingency.escalation.considered","","20",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","731","react.ccrs.contingency.escalation.skipped","","20",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
