"batch_id","run_id","line","mase_run_id","type","timestamp","agent","cell","graph","transaction_id","archive_id"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4936","run-2026-06-25T17-13-09-484Z","AGENT_MOVED","1782408373808","http://127.0.1.1:8080/agents/react_baseline_mazeV1_t2","http://127.0.1.1:8080/cells/0",,"-1","6480163"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4937","run-2026-06-25T17-13-09-484Z","TRANSACTION","1782408373810","react_baseline_mazeV1_t2",,"http://127.0.1.1:8080/cells/0","5191","6480164"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4938","run-2026-06-25T17-13-09-484Z","AGENT_MOVED","1782408378725","http://127.0.1.1:8080/agents/react_baseline_mazeV1_t2","http://127.0.1.1:8080/cells/0/2",,"-1","6480165"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4939","run-2026-06-25T17-13-09-484Z","TRANSACTION","1782408378728","react_baseline_mazeV1_t2",,"http://127.0.1.1:8080/cells/0/2","5192","6480166"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4940","run-2026-06-25T17-13-09-484Z","AGENT_MOVED","1782408388289","http://127.0.1.1:8080/agents/react_baseline_mazeV1_t2","http://127.0.1.1:8080/cells/1/2",,"-1","6480167"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4941","run-2026-06-25T17-13-09-484Z","TRANSACTION","1782408388292","react_baseline_mazeV1_t2",,"http://127.0.1.1:8080/cells/1/2","5193","6480168"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4942","run-2026-06-25T17-13-09-484Z","AGENT_MOVED","1782408393566","http://127.0.1.1:8080/agents/react_baseline_mazeV1_t2","http://127.0.1.1:8080/cells/2/2",,"-1","6480169"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4943","run-2026-06-25T17-13-09-484Z","TRANSACTION","1782408393567","react_baseline_mazeV1_t2",,"http://127.0.1.1:8080/cells/2/2","5194","6480170"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4944","run-2026-06-25T17-13-09-484Z","AGENT_MOVED","1782408412818","http://127.0.1.1:8080/agents/react_baseline_mazeV1_t2","http://127.0.1.1:8080/cells/3/2",,"-1","6480171"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4945","run-2026-06-25T17-13-09-484Z","TRANSACTION","1782408412819","react_baseline_mazeV1_t2",,"http://127.0.1.1:8080/cells/3/2","5195","6480172"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4946","run-2026-06-25T17-13-09-484Z","AGENT_MOVED","1782408478945","http://127.0.1.1:8080/agents/react_baseline_mazeV1_t2","http://127.0.1.1:8080/cells/4/2",,"-1","6480173"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4947","run-2026-06-25T17-13-09-484Z","TRANSACTION","1782408478950","react_baseline_mazeV1_t2",,"http://127.0.1.1:8080/cells/4/2","5196","6480174"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4948","run-2026-06-25T17-13-09-484Z","AGENT_MOVED","1782408501719","http://127.0.1.1:8080/agents/react_baseline_mazeV1_t2","http://127.0.1.1:8080/cells/5/2",,"-1","6480175"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4949","run-2026-06-25T17-13-09-484Z","TRANSACTION","1782408501724","react_baseline_mazeV1_t2",,"http://127.0.1.1:8080/cells/5/2","5197","6480176"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4950","run-2026-06-25T17-13-09-484Z","AGENT_MOVED","1782408515207","http://127.0.1.1:8080/agents/react_baseline_mazeV1_t2","http://127.0.1.1:8080/cells/6/2",,"-1","6480177"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4951","run-2026-06-25T17-13-09-484Z","TRANSACTION","1782408515210","react_baseline_mazeV1_t2",,"http://127.0.1.1:8080/cells/6/2","5198","6480178"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4952","run-2026-06-25T17-13-09-484Z","AGENT_MOVED","1782408521431","http://127.0.1.1:8080/agents/react_baseline_mazeV1_t2","http://127.0.1.1:8080/cells/7/2",,"-1","6480179"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4953","run-2026-06-25T17-13-09-484Z","TRANSACTION","1782408521432","react_baseline_mazeV1_t2",,"http://127.0.1.1:8080/cells/7/2","5199","6480180"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4954","run-2026-06-25T17-13-09-484Z","AGENT_MOVED","1782408533061","http://127.0.1.1:8080/agents/react_baseline_mazeV1_t2","http://127.0.1.1:8080/cells/7/3",,"-1","6480181"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4955","run-2026-06-25T17-13-09-484Z","TRANSACTION","1782408533065","react_baseline_mazeV1_t2",,"http://127.0.1.1:8080/cells/7/3","5200","6480182"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4956","run-2026-06-25T17-13-09-484Z","AGENT_MOVED","1782408544883","http://127.0.1.1:8080/agents/react_baseline_mazeV1_t2","http://127.0.1.1:8080/cells/7/4",,"-1","6480183"
