"batch_id","run_id","move_sequence","move_cell","move_timestamp","move_line","start_action_line","start_action_timestamp","end_before_action_line","action_count","get_count","post_count","http_error_count","status_codes","action_lines","action_targets","match_quality"
"react-baseline-vs-ccrs-v1-t2","001-baseline","1","http://127.0.1.1:8080/cells/0","1782408373808","4936","12","2026-06-25 19:26:13,693","24","2","1","1","0","201;200","12;18","http://127.0.1.1:8080/cells/0;http://127.0.1.1:8080/cells/0","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","001-baseline","2","http://127.0.1.1:8080/cells/0/2","1782408378725","4938","24","2026-06-25 19:26:18,522","48","4","3","1","0","201;200;200;200","24;30;36;42","http://127.0.1.1:8080/cells/0/2;http://127.0.1.1:8080/cells/0/2;http://127.0.1.1:8080/cells/0/2;http://127.0.1.1:8080/cells/0/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","001-baseline","3","http://127.0.1.1:8080/cells/1/2","1782408388289","4940","48","2026-06-25 19:26:28,095","60","2","1","1","0","201;200","48;54","http://127.0.1.1:8080/cells/1/2;http://127.0.1.1:8080/cells/1/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4","http://127.0.1.1:8080/cells/2/2","1782408393566","4942","60","2026-06-25 19:26:33,435","114","9","8","1","0","201;200;200;200;200;200;200;200;200","60;66;72;78;84;90;96;102;108","http://127.0.1.1:8080/cells/2/2;http://127.0.1.1:8080/cells/2/2;http://127.0.1.1:8080/cells/2/2;http://127.0.1.1:8080/cells/2/2;http://127.0.1.1:8080/cells/2/2;http://127.0.1.1:8080/cells/2/2;http://127.0.1.1:8080/cells/2/2;http://127.0.1.1:8080/cells/2/2;http://127.0.1.1:8080/cells/2/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","001-baseline","5","http://127.0.1.1:8080/cells/3/2","1782408412818","4944","114","2026-06-25 19:26:52,692","246","22","21","1","0","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200","114;120;126;132;138;144;150;156;162;168;174;180;186;192;198;204;210;216;222;228;234;240","http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2;http://127.0.1.1:8080/cells/3/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","001-baseline","6","http://127.0.1.1:8080/cells/4/2","1782408478945","4946","246","2026-06-25 19:27:58,816","300","9","8","1","0","201;200;200;200;200;200;200;200;200","246;252;258;264;270;276;282;288;294","http://127.0.1.1:8080/cells/4/2;http://127.0.1.1:8080/cells/4/2;http://127.0.1.1:8080/cells/4/2;http://127.0.1.1:8080/cells/4/2;http://127.0.1.1:8080/cells/4/2;http://127.0.1.1:8080/cells/4/2;http://127.0.1.1:8080/cells/4/2;http://127.0.1.1:8080/cells/4/2;http://127.0.1.1:8080/cells/4/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","001-baseline","7","http://127.0.1.1:8080/cells/5/2","1782408501719","4948","300","2026-06-25 19:28:21,555","324","4","3","1","0","201;200;200;200","300;306;312;318","http://127.0.1.1:8080/cells/5/2;http://127.0.1.1:8080/cells/5/2;http://127.0.1.1:8080/cells/5/2;http://127.0.1.1:8080/cells/5/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","001-baseline","8","http://127.0.1.1:8080/cells/6/2","1782408515207","4950","324","2026-06-25 19:28:35,075","336","2","1","1","0","201;200","324;330","http://127.0.1.1:8080/cells/6/2;http://127.0.1.1:8080/cells/6/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","001-baseline","9","http://127.0.1.1:8080/cells/7/2","1782408521431","4952","336","2026-06-25 19:28:41,291","354","3","2","1","0","201;200;200","336;342;348","http://127.0.1.1:8080/cells/7/2;http://127.0.1.1:8080/cells/7/2;http://127.0.1.1:8080/cells/7/2","target_timestamp_order"
"react-baseline-vs-ccrs-v1-t2","001-baseline","10","http://127.0.1.1:8080/cells/7/3","1782408533061","4954","354","2026-06-25 19:28:52,935","384","5","4","1","0","201;200;200;200;200","354;360;366;372;378","http://127.0.1.1:8080/cells/7/3;http://127.0.1.1:8080/cells/7/3;http://127.0.1.1:8080/cells/7/3;http://127.0.1.1:8080/cells/7/3;http://127.0.1.1:8080/cells/7/3","target_timestamp_order"
