"batch_id","run_id","move_sequence","move_cell","move_timestamp","duration_ms","action_count","http_success_count","http_failure_count","get_count","post_count","status_codes"
"react-baseline-vs-ccrs-v1-t2","001-baseline","1","http://127.0.1.1:8080/cells/0","1782408373808",,"2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","2","http://127.0.1.1:8080/cells/0/2","1782408378725","4917","4","4","0","3","1","201;200;200;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","3","http://127.0.1.1:8080/cells/1/2","1782408388289","9564","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","4","http://127.0.1.1:8080/cells/2/2","1782408393566","5277","9","9","0","8","1","201;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","5","http://127.0.1.1:8080/cells/3/2","1782408412818","19252","22","22","0","21","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","6","http://127.0.1.1:8080/cells/4/2","1782408478945","66127","9","9","0","8","1","201;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","7","http://127.0.1.1:8080/cells/5/2","1782408501719","22774","4","4","0","3","1","201;200;200;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","8","http://127.0.1.1:8080/cells/6/2","1782408515207","13488","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","9","http://127.0.1.1:8080/cells/7/2","1782408521431","6224","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","10","http://127.0.1.1:8080/cells/7/3","1782408533061","11630","5","5","0","4","1","201;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","11","http://127.0.1.1:8080/cells/7/4","1782408544883","11822","15","15","0","14","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","12","http://127.0.1.1:8080/cells/8/4","1782408592506","47623","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","13","http://127.0.1.1:8080/cells/8/5","1782408601519","9013","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","14","http://127.0.1.1:8080/cells/8/6","1782408608631","7112","25","25","0","24","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","001-baseline","15","http://127.0.1.1:8080/cells/9/6","1782408663497","54866","27","26","1","26","1","201;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;403;200;200;200;200;200;200;200;200;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","1","http://127.0.1.1:8080/cells/0","1782389957751",,"2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","2","http://127.0.1.1:8080/cells/0/2","1782389964089","6338","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","3","http://127.0.1.1:8080/cells/1/2","1782389969455","5366","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","4","http://127.0.1.1:8080/cells/2/2","1782389974645","5190","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","5","http://127.0.1.1:8080/cells/3/2","1782389979093","4448","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","6","http://127.0.1.1:8080/cells/4/2","1782389984187","5094","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","7","http://127.0.1.1:8080/cells/5/2","1782389991167","6980","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","8","http://127.0.1.1:8080/cells/6/2","1782389998846","7679","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","9","http://127.0.1.1:8080/cells/7/2","1782390004101","5255","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","10","http://127.0.1.1:8080/cells/7/3","1782390016682","12581","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","11","http://127.0.1.1:8080/cells/7/4","1782390022600","5918","3","3","0","2","1","201;200;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","12","http://127.0.1.1:8080/cells/8/4","1782390030213","7613","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","13","http://127.0.1.1:8080/cells/8/5","1782390036184","5971","2","2","0","1","1","201;200"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","14","http://127.0.1.1:8080/cells/8/6","1782390042233","6049","3","3","0","2","1","201;200;200"
