"batch_id","run_id","agent_name","file","line","react_event","cycle","cycle_timestamp","tool_call_id","tool_name","target","type","pattern_id","utility","entries","reason"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","12","react.ccrs.opportunistic.evaluate","1","2026-06-25T12:19:13.107+00:00","call_r29pXeMdtBh3DXKRftWNKsy6","http_get",,,,,,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","15","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","16","react.ccrs.opportunistic.jvm.start",,,,,,,,,,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","20","react.ccrs.opportunistic.runtime.ready",,,,,,,,,,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","23","react.ccrs.opportunistic.no_annotations","1","2026-06-25T12:19:13.107+00:00","call_r29pXeMdtBh3DXKRftWNKsy6","http_get",,,,,"0",
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","33","react.ccrs.opportunistic.evaluate","2","2026-06-25T12:19:17.659+00:00","call_yGywq1B9gZW6yhs12YqUnxVS","http_post",,,,,,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","35","react.ccrs.opportunistic.skipped","2","2026-06-25T12:19:17.659+00:00","call_yGywq1B9gZW6yhs12YqUnxVS","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","44","react.ccrs.opportunistic.evaluate","3","2026-06-25T12:19:19.761+00:00","call_Rfx1hyJRKwVDsn8PCFfRHce8","http_get",,,,,,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","47","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","52","react.ccrs.opportunistic.detected","3","2026-06-25T12:19:19.761+00:00","call_Rfx1hyJRKwVDsn8PCFfRHce8","http_get","http://127.0.1.1:8080/cells/0/2","signifier","https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green","0.7",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","53","react.ccrs.opportunistic.cycle_annotations","3","2026-06-25T12:19:19.761+00:00","call_Rfx1hyJRKwVDsn8PCFfRHce8","http_get",,,,,"1",
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","111","react.ccrs.opportunistic.evaluate","4","2026-06-25T12:19:23.986+00:00","call_f2ibeRFXSCd5S1txKXqInS7U","http_post",,,,,,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","113","react.ccrs.opportunistic.skipped","4","2026-06-25T12:19:23.986+00:00","call_f2ibeRFXSCd5S1txKXqInS7U","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","122","react.ccrs.opportunistic.evaluate","5","2026-06-25T12:19:26.439+00:00","call_p1Ywhi1AmFdABLcW9SHazQh0","http_get",,,,,,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","125","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","130","react.ccrs.opportunistic.detected","5","2026-06-25T12:19:26.439+00:00","call_p1Ywhi1AmFdABLcW9SHazQh0","http_get","http://127.0.1.1:8080/cells/1/2","signifier","https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green","0.7",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","131","react.ccrs.opportunistic.cycle_annotations","5","2026-06-25T12:19:26.439+00:00","call_p1Ywhi1AmFdABLcW9SHazQh0","http_get",,,,,"1",
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","189","react.ccrs.opportunistic.evaluate","6","2026-06-25T12:19:29.356+00:00","call_aRnjlElKCjKFVutWLK47nX4L","http_post",,,,,,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","191","react.ccrs.opportunistic.skipped","6","2026-06-25T12:19:29.356+00:00","call_aRnjlElKCjKFVutWLK47nX4L","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","200","react.ccrs.opportunistic.evaluate","7","2026-06-25T12:19:31.514+00:00","call_hi7oH4sYRitSz2QRIUDWoffO","http_get",,,,,,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","203","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","208","react.ccrs.opportunistic.detected","7","2026-06-25T12:19:31.514+00:00","call_hi7oH4sYRitSz2QRIUDWoffO","http_get","http://127.0.1.1:8080/cells/2/2","signifier","https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green","0.7",,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","209","react.ccrs.opportunistic.cycle_annotations","7","2026-06-25T12:19:31.514+00:00","call_hi7oH4sYRitSz2QRIUDWoffO","http_get",,,,,"1",
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","267","react.ccrs.opportunistic.evaluate","8","2026-06-25T12:19:34.529+00:00","call_jcivFmF6EI1IREuca2ImdB6x","http_post",,,,,,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","269","react.ccrs.opportunistic.skipped","8","2026-06-25T12:19:34.529+00:00","call_jcivFmF6EI1IREuca2ImdB6x","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","278","react.ccrs.opportunistic.evaluate","9","2026-06-25T12:19:36.278+00:00","call_1wNd8zRlIl2uSmQhxjidQLGJ","http_get",,,,,,
"react-baseline-vs-ccrs-v1-t2","002-ccrs","react_ccrs_mazeV1_t2","react_ccrs_mazeV1_t2_20260625_141909.log","281","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
