"batch_id","run_id","agent_name","graph_name","file","line","timestamp","tool_call_id","action_type","target","outcome","http_status","http_ok","response_length","content_type","error","error_type","result_line","result_timestamp"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","react_baseline_v1_01_20260607_215930.log","6","2026-06-07 21:59:33,597","call_BiRHb3o09N7z0NPGnJxIOgW8","http_get","http://127.0.1.1:8080/maze","success","200","True","1014","text/turtle",,,"7","2026-06-07 21:59:33,604"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","react_baseline_v1_01_20260607_215930.log","10","2026-06-07 21:59:36,059","call_3QW9cT9X7o2fNlbqtgx5JZrQ","http_post","http://127.0.1.1:8080/cells/0","success","201","True","44","text/plain;charset=iso-8859-1",,,"11","2026-06-07 21:59:36,160"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","react_baseline_v1_01_20260607_215930.log","14","2026-06-07 21:59:37,548","call_geiKN5mQ2LXPQJSLMNr770Zk","http_get","http://127.0.1.1:8080/cells/0","success","200","True","1409","text/turtle",,,"15","2026-06-07 21:59:37,563"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","react_baseline_v1_01_20260607_215930.log","18","2026-06-07 21:59:40,121","call_7JkEwS9roSoZ3RqZp3luMrpJ","http_post","http://127.0.1.1:8080/cells/0/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"19","2026-06-07 21:59:40,240"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","react_baseline_v1_01_20260607_215930.log","22","2026-06-07 21:59:41,844","call_5AiUeSrNd1aJMHYCmFFg3pHU","http_get","http://127.0.1.1:8080/cells/0/2","success","200","True","1568","text/turtle",,,"23","2026-06-07 21:59:41,850"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","react_baseline_v1_01_20260607_215930.log","26","2026-06-07 21:59:44,319","call_9fYQ4dVmUJNXlBASkGNuY4wx","http_post","http://127.0.1.1:8080/cells/1/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"27","2026-06-07 21:59:44,433"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","react_baseline_v1_01_20260607_215930.log","30","2026-06-07 21:59:45,969","call_7wIQ9sW72eAdWxfSupIy0V16","http_get","http://127.0.1.1:8080/cells/1/2","success","200","True","1570","text/turtle",,,"31","2026-06-07 21:59:45,987"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","react_baseline_v1_01_20260607_215930.log","34","2026-06-07 21:59:48,654","call_Q0mxZPB2WTeDvZ6X7s39Ta5E","http_post","http://127.0.1.1:8080/cells/2/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"35","2026-06-07 21:59:48,736"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","react_baseline_v1_01_20260607_215930.log","38","2026-06-07 21:59:50,188","call_Is1YQOunrmM2QikipIQsmDAu","http_get","http://127.0.1.1:8080/cells/2/2","success","200","True","1618","text/turtle",,,"39","2026-06-07 21:59:50,218"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","react_baseline_v1_01_20260607_215930.log","42","2026-06-07 21:59:52,648","call_6sJdHd5zaQ5WNkCGVp6Qzcsu","http_post","http://127.0.1.1:8080/cells/2/3","success","201","True","46","text/plain;charset=iso-8859-1",,,"43","2026-06-07 21:59:52,745"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","react_baseline_v1_01_20260607_215930.log","46","2026-06-07 21:59:54,275","call_j13CgYSH44LMzd2Rmgd8YKYF","http_get","http://127.0.1.1:8080/cells/2/3","success","200","True","1232","text/turtle",,,"47","2026-06-07 21:59:54,290"
"react-baseline-vs-ccrs-v1","001-baseline","react_baseline_v1_01","graph","react_baseline_v1_01_20260607_215930.log","50","2026-06-07 21:59:56,764","call_1f2fiFJ9JBM5wZI0G7VB4pgE","http_post","http://127.0.1.1:8080/cells/2/4","success","201","True","46","text/plain;charset=iso-8859-1",,,"51","2026-06-07 21:59:56,852"
