"batch_id","run_id","agent_name","graph_name","sequence","cycle","cycle_timestamp","duration_ms","file","line","event_count","opportunistic_detected_count","opportunistic_prompt_visible_count","selection_count","contingency_event_count","contingency_guidance_event_count"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","1","0","2026-06-07T19:15:22.327+00:00",,"react_ccrs_mazeV1_04_20260607_211522.log","6","1","0","0","1","0","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","2","1","2026-06-07T19:15:24.620+00:00","2293","react_ccrs_mazeV1_04_20260607_211522.log","7","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","3","2","2026-06-07T19:15:27.914+00:00","3294","react_ccrs_mazeV1_04_20260607_211522.log","26","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","4","3","2026-06-07T19:15:29.434+00:00","1520","react_ccrs_mazeV1_04_20260607_211522.log","36","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","5","4","2026-06-07T19:15:32.001+00:00","2567","react_ccrs_mazeV1_04_20260607_211522.log","101","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","6","5","2026-06-07T19:15:33.615+00:00","1614","react_ccrs_mazeV1_04_20260607_211522.log","111","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","7","6","2026-06-07T19:15:35.923+00:00","2308","react_ccrs_mazeV1_04_20260607_211522.log","176","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","8","7","2026-06-07T19:15:37.574+00:00","1651","react_ccrs_mazeV1_04_20260607_211522.log","186","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","9","8","2026-06-07T19:15:40.711+00:00","3137","react_ccrs_mazeV1_04_20260607_211522.log","251","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","10","9","2026-06-07T19:15:42.263+00:00","1552","react_ccrs_mazeV1_04_20260607_211522.log","261","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","11","10","2026-06-07T19:15:48.919+00:00","6656","react_ccrs_mazeV1_04_20260607_211522.log","326","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","12","11","2026-06-07T19:15:50.601+00:00","1682","react_ccrs_mazeV1_04_20260607_211522.log","336","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","13","12","2026-06-07T19:15:53.090+00:00","2489","react_ccrs_mazeV1_04_20260607_211522.log","401","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","14","13","2026-06-07T19:15:54.608+00:00","1518","react_ccrs_mazeV1_04_20260607_211522.log","411","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","15","14","2026-06-07T19:15:58.273+00:00","3665","react_ccrs_mazeV1_04_20260607_211522.log","476","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","16","15","2026-06-07T19:15:59.845+00:00","1572","react_ccrs_mazeV1_04_20260607_211522.log","486","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","17","16","2026-06-07T19:16:02.736+00:00","2891","react_ccrs_mazeV1_04_20260607_211522.log","551","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","18","17","2026-06-07T19:16:05.221+00:00","2485","react_ccrs_mazeV1_04_20260607_211522.log","561","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","19","18","2026-06-07T19:16:13.095+00:00","7874","react_ccrs_mazeV1_04_20260607_211522.log","626","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","20","19","2026-06-07T19:16:14.737+00:00","1642","react_ccrs_mazeV1_04_20260607_211522.log","636","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","21","20","2026-06-07T19:16:17.360+00:00","2623","react_ccrs_mazeV1_04_20260607_211522.log","701","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","22","21","2026-06-07T19:16:19.648+00:00","2288","react_ccrs_mazeV1_04_20260607_211522.log","711","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","23","22","2026-06-07T19:16:22.555+00:00","2907","react_ccrs_mazeV1_04_20260607_211522.log","776","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","24","23","2026-06-07T19:16:24.166+00:00","1611","react_ccrs_mazeV1_04_20260607_211522.log","786","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","25","24","2026-06-07T19:16:26.785+00:00","2619","react_ccrs_mazeV1_04_20260607_211522.log","851","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","26","25","2026-06-07T19:16:28.432+00:00","1647","react_ccrs_mazeV1_04_20260607_211522.log","861","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","27","26","2026-06-07T19:16:31.183+00:00","2751","react_ccrs_mazeV1_04_20260607_211522.log","926","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","28","27","2026-06-07T19:16:32.929+00:00","1746","react_ccrs_mazeV1_04_20260607_211522.log","936","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","29","28","2026-06-07T19:16:35.722+00:00","2793","react_ccrs_mazeV1_04_20260607_211522.log","1001","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","30","29","2026-06-07T19:16:37.417+00:00","1695","react_ccrs_mazeV1_04_20260607_211522.log","1011","7","1","1","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","31","30","2026-06-07T19:16:40.026+00:00","2609","react_ccrs_mazeV1_04_20260607_211522.log","1076","5","0","0","1","2","0"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","32","31","2026-06-07T19:16:42.515+00:00","2489","react_ccrs_mazeV1_04_20260607_211522.log","1086","7","1","1","1","2","0"
