"batch_id","run_id","agent_name","graph_name","file","line","react_event","cycle","cycle_timestamp","tool_call_id","tool_name","target","type","pattern_id","utility","entries","reason"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","11","react.ccrs.opportunistic.evaluate","1","2026-06-07T19:15:24.620+00:00","call_0999QMmKlfrGZJhnlUG7VaqQ","http_get",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","14","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","15","react.ccrs.opportunistic.jvm.start",,,,,,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","19","react.ccrs.opportunistic.runtime.ready",,,,,,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","22","react.ccrs.opportunistic.no_annotations","1","2026-06-07T19:15:24.620+00:00","call_0999QMmKlfrGZJhnlUG7VaqQ","http_get",,,,,"0",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","30","react.ccrs.opportunistic.evaluate","2","2026-06-07T19:15:27.914+00:00","call_cx25dhgDoNrb8xSrg5RVI927","http_post",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","32","react.ccrs.opportunistic.skipped","2","2026-06-07T19:15:27.914+00:00","call_cx25dhgDoNrb8xSrg5RVI927","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","40","react.ccrs.opportunistic.evaluate","3","2026-06-07T19:15:29.434+00:00","call_26VMlxntv7Zy1dBA5AFloqb9","http_get",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","43","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","48","react.ccrs.opportunistic.detected","3","2026-06-07T19:15:29.434+00:00","call_26VMlxntv7Zy1dBA5AFloqb9","http_get","http://127.0.1.1:8080/cells/0/2","signifier","https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green","0.7",,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","49","react.ccrs.opportunistic.cycle_annotations","3","2026-06-07T19:15:29.434+00:00","call_26VMlxntv7Zy1dBA5AFloqb9","http_get",,,,,"1",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","105","react.ccrs.opportunistic.evaluate","4","2026-06-07T19:15:32.001+00:00","call_y2xZ0F9wuxWtn2UxFFasWPla","http_post",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","107","react.ccrs.opportunistic.skipped","4","2026-06-07T19:15:32.001+00:00","call_y2xZ0F9wuxWtn2UxFFasWPla","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","115","react.ccrs.opportunistic.evaluate","5","2026-06-07T19:15:33.615+00:00","call_LCySH8SF3Uz0jjhLZe22sZTT","http_get",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","118","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","123","react.ccrs.opportunistic.detected","5","2026-06-07T19:15:33.615+00:00","call_LCySH8SF3Uz0jjhLZe22sZTT","http_get","http://127.0.1.1:8080/cells/1/2","signifier","https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green","0.7",,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","124","react.ccrs.opportunistic.cycle_annotations","5","2026-06-07T19:15:33.615+00:00","call_LCySH8SF3Uz0jjhLZe22sZTT","http_get",,,,,"1",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","180","react.ccrs.opportunistic.evaluate","6","2026-06-07T19:15:35.923+00:00","call_D3UVPSIaGwWRwTseQM2xVMxz","http_post",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","182","react.ccrs.opportunistic.skipped","6","2026-06-07T19:15:35.923+00:00","call_D3UVPSIaGwWRwTseQM2xVMxz","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","190","react.ccrs.opportunistic.evaluate","7","2026-06-07T19:15:37.574+00:00","call_lgayqEJt5hH3mFophqdPHfpO","http_get",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","193","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","198","react.ccrs.opportunistic.detected","7","2026-06-07T19:15:37.574+00:00","call_lgayqEJt5hH3mFophqdPHfpO","http_get","http://127.0.1.1:8080/cells/2/2","signifier","https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green","0.7",,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","199","react.ccrs.opportunistic.cycle_annotations","7","2026-06-07T19:15:37.574+00:00","call_lgayqEJt5hH3mFophqdPHfpO","http_get",,,,,"1",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","255","react.ccrs.opportunistic.evaluate","8","2026-06-07T19:15:40.711+00:00","call_nkWOkzY6TZeSMlEGnOGj6txp","http_post",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","257","react.ccrs.opportunistic.skipped","8","2026-06-07T19:15:40.711+00:00","call_nkWOkzY6TZeSMlEGnOGj6txp","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","265","react.ccrs.opportunistic.evaluate","9","2026-06-07T19:15:42.263+00:00","call_phGMLWdbUxcXpmrKqA1ry95u","http_get",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","268","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","273","react.ccrs.opportunistic.detected","9","2026-06-07T19:15:42.263+00:00","call_phGMLWdbUxcXpmrKqA1ry95u","http_get","http://127.0.1.1:8080/cells/3/2","signifier","https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green","0.7",,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","274","react.ccrs.opportunistic.cycle_annotations","9","2026-06-07T19:15:42.263+00:00","call_phGMLWdbUxcXpmrKqA1ry95u","http_get",,,,,"1",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","330","react.ccrs.opportunistic.evaluate","10","2026-06-07T19:15:48.919+00:00","call_zHqVuUCH5Rjh1WwVF5ikkegn","http_post",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","332","react.ccrs.opportunistic.skipped","10","2026-06-07T19:15:48.919+00:00","call_zHqVuUCH5Rjh1WwVF5ikkegn","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","340","react.ccrs.opportunistic.evaluate","11","2026-06-07T19:15:50.601+00:00","call_AybYzRFm9w4TcZKtceHdxGtN","http_get",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","343","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","348","react.ccrs.opportunistic.detected","11","2026-06-07T19:15:50.601+00:00","call_AybYzRFm9w4TcZKtceHdxGtN","http_get","http://127.0.1.1:8080/cells/4/2","signifier","https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green","0.7",,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","349","react.ccrs.opportunistic.cycle_annotations","11","2026-06-07T19:15:50.601+00:00","call_AybYzRFm9w4TcZKtceHdxGtN","http_get",,,,,"1",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","405","react.ccrs.opportunistic.evaluate","12","2026-06-07T19:15:53.090+00:00","call_1t4jpfvkJK55zWKNzIMji6Fi","http_post",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","407","react.ccrs.opportunistic.skipped","12","2026-06-07T19:15:53.090+00:00","call_1t4jpfvkJK55zWKNzIMji6Fi","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","415","react.ccrs.opportunistic.evaluate","13","2026-06-07T19:15:54.608+00:00","call_TapcEYufiOI4MoL5J2RmopFh","http_get",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","418","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","423","react.ccrs.opportunistic.detected","13","2026-06-07T19:15:54.608+00:00","call_TapcEYufiOI4MoL5J2RmopFh","http_get","http://127.0.1.1:8080/cells/5/2","signifier","https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green","0.7",,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","424","react.ccrs.opportunistic.cycle_annotations","13","2026-06-07T19:15:54.608+00:00","call_TapcEYufiOI4MoL5J2RmopFh","http_get",,,,,"1",
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","480","react.ccrs.opportunistic.evaluate","14","2026-06-07T19:15:58.273+00:00","call_3Hy3kjMtHiEM8lpDREqGJiEO","http_post",,,,,,
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","482","react.ccrs.opportunistic.skipped","14","2026-06-07T19:15:58.273+00:00","call_3Hy3kjMtHiEM8lpDREqGJiEO","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v1","002-ccrs","react_ccrs_mazeV1_04","graph_ccrs","react_ccrs_mazeV1_04_20260607_211522.log","490","react.ccrs.opportunistic.evaluate","15","2026-06-07T19:15:59.845+00:00","call_nlXXBjH8k1pNUq8yLLZcj6RR","http_get",,,,,,
