"batch_id","run_id","agent_name","file","line","timestamp","tool_call_id","action_type","target","outcome","http_status","http_ok","response_length","content_type","error","error_type","result_line","result_timestamp"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","7","2026-06-27 15:56:38,603","call_UoEjGN8uuMGLmytF5Au8MPMG","http_get","http://127.0.1.1:8080/maze","success","200","True","1014","text/turtle",,,"8","2026-06-27 15:56:38,628"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","12","2026-06-27 15:56:41,408","call_e3oRexdtwe2kFbsxDZJdcJ1h","http_post","http://127.0.1.1:8080/cells/0","success","201","True","44","text/plain;charset=iso-8859-1",,,"13","2026-06-27 15:56:41,508"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","18","2026-06-27 15:56:43,279","call_WKWwj25A2ge25RNcQHcBtilX","http_get","http://127.0.1.1:8080/cells/0","success","200","True","1410","text/turtle",,,"19","2026-06-27 15:56:43,296"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","24","2026-06-27 15:56:46,208","call_836cSZyZSLrvQ7OXYm6VQBy3","http_post","http://127.0.1.1:8080/cells/0/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"25","2026-06-27 15:56:46,319"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","30","2026-06-27 15:56:48,434","call_wyYXXVR5qLBe4D6q0EKGXlTU","http_get","http://127.0.1.1:8080/cells/0/2","success","200","True","1569","text/turtle",,,"31","2026-06-27 15:56:48,449"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","36","2026-06-27 15:56:51,183","call_Axka3XflSaF4Cf5Jf3lgDaVc","http_post","http://127.0.1.1:8080/cells/1/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"37","2026-06-27 15:56:51,273"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","42","2026-06-27 15:56:52,932","call_cKU9FgmiRUL8m11Ugqi0qrxu","http_get","http://127.0.1.1:8080/cells/1/2","success","200","True","1571","text/turtle",,,"43","2026-06-27 15:56:52,953"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","48","2026-06-27 15:56:56,183","call_lu516mTws5YdtCGctzFIi9VY","http_post","http://127.0.1.1:8080/cells/2/2","success","201","True","46","text/plain;charset=iso-8859-1",,,"49","2026-06-27 15:56:56,281"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","54","2026-06-27 15:56:58,601","call_02hBSPZraZi27t6VGHw8cZuF","http_get","http://127.0.1.1:8080/cells/2/2","success","200","True","1619","text/turtle",,,"55","2026-06-27 15:56:58,625"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","60","2026-06-27 15:57:01,581","call_Y8y11F71qy8Bs8yk1rkCCndb","http_post","http://127.0.1.1:8080/cells/2/3","success","201","True","46","text/plain;charset=iso-8859-1",,,"61","2026-06-27 15:57:01,687"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","66","2026-06-27 15:57:03,499","call_XKlPpbIfBkyrhmHFTUgsrlqe","http_get","http://127.0.1.1:8080/cells/2/3","success","200","True","1233","text/turtle",,,"67","2026-06-27 15:57:03,517"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","72","2026-06-27 15:57:06,304","call_O9kGyPxff4dQ8KID1Il82Mdx","http_post","http://127.0.1.1:8080/cells/2/4","success","201","True","46","text/plain;charset=iso-8859-1",,,"73","2026-06-27 15:57:06,419"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","78","2026-06-27 15:57:08,169","call_EBL5uvWFJ85P7pRCR4OZOrXq","http_get","http://127.0.1.1:8080/cells/2/4","success","200","True","1233","text/turtle",,,"79","2026-06-27 15:57:08,186"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","84","2026-06-27 15:57:10,925","call_eUqno6YeNjUlhsjQUBFknH6J","http_post","http://127.0.1.1:8080/cells/1/4","success","201","True","46","text/plain;charset=iso-8859-1",,,"85","2026-06-27 15:57:11,018"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","90","2026-06-27 15:57:12,678","call_z8i72U8NMtbAeP1TsQn0aPEk","http_get","http://127.0.1.1:8080/cells/1/4","success","200","True","1233","text/turtle",,,"91","2026-06-27 15:57:12,685"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","96","2026-06-27 15:57:15,824","call_QLsEm7nLLQSSGewNFQPIscc6","http_post","http://127.0.1.1:8080/cells/1/5","success","201","True","46","text/plain;charset=iso-8859-1",,,"97","2026-06-27 15:57:15,906"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","102","2026-06-27 15:57:18,048","call_lZK1r7fgm4a1MOf3rgimrYA5","http_get","http://127.0.1.1:8080/cells/1/5","success","200","True","1233","text/turtle",,,"103","2026-06-27 15:57:18,073"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","108","2026-06-27 15:57:21,030","call_EXC7ykrOz1OfYI8SK24rL1ZN","http_post","http://127.0.1.1:8080/cells/1/6","success","201","True","46","text/plain;charset=iso-8859-1",,,"109","2026-06-27 15:57:21,120"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","114","2026-06-27 15:57:23,070","call_wc8UVr9t4RfHXMIjjwligwfq","http_get","http://127.0.1.1:8080/cells/1/6","success","200","True","1257","text/turtle",,,"115","2026-06-27 15:57:23,094"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","120","2026-06-27 15:57:26,663","call_KZyZeK53yaMxgO1du2OdekhF","http_post","http://127.0.1.1:8080/cells/1/7","success","201","True","46","text/plain;charset=iso-8859-1",,,"121","2026-06-27 15:57:26,753"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","126","2026-06-27 15:57:28,929","call_ThfnxPXEj1fiT0wptrez3xNt","http_get","http://127.0.1.1:8080/cells/1/7","success","200","True","1209","text/turtle",,,"127","2026-06-27 15:57:28,946"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","132","2026-06-27 15:57:31,063","call_FfDXbDQUw6PW94utvigMGXqk","http_get","http://127.0.1.1:8080/cells/1/7","success","200","True","1209","text/turtle",,,"133","2026-06-27 15:57:31,082"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","138","2026-06-27 15:57:35,836","call_d6mkKxzARXZnV83levFBOo8z","http_post","http://127.0.1.1:8080/cells/1/6","success","201","True","46","text/plain;charset=iso-8859-1",,,"139","2026-06-27 15:57:35,923"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","144","2026-06-27 15:57:37,889","call_gHehdofydSd81E0W4M4pJ2jx","http_get","http://127.0.1.1:8080/cells/1/6","success","200","True","1257","text/turtle",,,"145","2026-06-27 15:57:37,908"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","150","2026-06-27 15:57:41,043","call_JCdGeAB6EEGfvS8z6emp3LKa","http_post","http://127.0.1.1:8080/cells/2/6","success","201","True","46","text/plain;charset=iso-8859-1",,,"151","2026-06-27 15:57:41,120"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","156","2026-06-27 15:57:43,363","call_nC9N3GgRPgDw8magwGdRd348","http_get","http://127.0.1.1:8080/cells/2/6","success","200","True","1233","text/turtle",,,"157","2026-06-27 15:57:43,369"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","162","2026-06-27 15:57:46,479","call_oNiwHgM9keoZFrIJmgSfhp8z","http_post","http://127.0.1.1:8080/cells/3/6","success","201","True","46","text/plain;charset=iso-8859-1",,,"163","2026-06-27 15:57:46,556"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","168","2026-06-27 15:57:49,025","call_QMnAdovC3sCUyELrk9lDMJ70","http_get","http://127.0.1.1:8080/cells/3/6","success","200","True","1257","text/turtle",,,"169","2026-06-27 15:57:49,049"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","174","2026-06-27 15:57:52,127","call_Ayt8lvgAdTdFvSCauSfH67yB","http_post","http://127.0.1.1:8080/cells/3/7","success","201","True","46","text/plain;charset=iso-8859-1",,,"175","2026-06-27 15:57:52,214"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","180","2026-06-27 15:57:54,664","call_3rRcQ5aCVRBg0CFStxmHhs8V","http_get","http://127.0.1.1:8080/cells/3/7","success","200","True","1233","text/turtle",,,"181","2026-06-27 15:57:54,672"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","186","2026-06-27 15:57:57,810","call_FWlac5rlcRGHdfMI1rc9VLie","http_post","http://127.0.1.1:8080/cells/3/8","success","201","True","46","text/plain;charset=iso-8859-1",,,"187","2026-06-27 15:57:57,904"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","192","2026-06-27 15:57:59,650","call_mPqYxJx2GGF8B3tF7K18xxHW","http_get","http://127.0.1.1:8080/cells/3/8","success","200","True","1233","text/turtle",,,"193","2026-06-27 15:57:59,673"
"react-baseline-vs-ccrs-v2","700-baseline","react_baseline_mazeV2","react_baseline_mazeV2_20260627_155634.log","198","2026-06-27 15:58:02,911","call_8quu5V1WQMLbtwo2AeFqwH2L","http_post","http://127.0.1.1:8080/cells/3/9","success","201","True","46","text/plain;charset=iso-8859-1",,,"199","2026-06-27 15:58:03,005"
