"batch_id","run_id","agent_name","file","line","react_event","invocation","cycle","cycle_timestamp","strategy_id","trace_id","top_action","stop","reason","target","situation_type","trigger","current_resource","target_resource","failed_action","evaluations","suggestions","no_help","opportunistic_guidance","result_type","action_type","action_target","confidence","evaluation_time_ms","has_opportunistic_guidance","no_help_reason","rationale","matched_entries","active_entries"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","8","react.ccrs.contingency.escalation.considered","","1",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","9","react.ccrs.contingency.escalation.skipped","","1",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","28","react.ccrs.contingency.escalation.considered","","2",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","29","react.ccrs.contingency.escalation.skipped","","2",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","40","react.ccrs.contingency.escalation.considered","","3",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","41","react.ccrs.contingency.escalation.skipped","","3",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","76","react.ccrs.contingency.escalation.considered","","4",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","77","react.ccrs.contingency.escalation.skipped","","4",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","88","react.ccrs.contingency.escalation.considered","","5",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","89","react.ccrs.contingency.escalation.skipped","","5",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","124","react.ccrs.contingency.escalation.considered","","6",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","125","react.ccrs.contingency.escalation.skipped","","6",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","136","react.ccrs.contingency.escalation.considered","","7",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","137","react.ccrs.contingency.escalation.skipped","","7",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","172","react.ccrs.contingency.escalation.considered","","8",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","173","react.ccrs.contingency.escalation.skipped","","8",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","184","react.ccrs.contingency.escalation.considered","","9",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","185","react.ccrs.contingency.escalation.skipped","","9",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","220","react.ccrs.contingency.escalation.considered","","10",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","221","react.ccrs.contingency.escalation.skipped","","10",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","232","react.ccrs.contingency.escalation.considered","","11",,,,,,,,,,,,,,,,,"","","","","","","","",,
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","233","react.ccrs.contingency.escalation.skipped","","11",,,,,,"no_escalation_condition_met",,,,,,,,,,,"","","","","","","","",,
