"batch_id","run_id","agent_name","file","line","timestamp","java_event","prefix","message"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","1","2026-06-26 20:16:54,328","","[JAVA-CCRS]","2026-06-26 20:16:54,328 [JAVA-CCRS] ccrs.core.rdf.CcrsVocabularyLoader: Loading CCRS vocabulary from classpath: ccrs-vocabulary.ttl"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","2","2026-06-26 20:16:54,443","","[JAVA-CCRS]","2026-06-26 20:16:54,443 [JAVA-CCRS] ccrs.core.rdf.CcrsVocabulary: Detected simple pattern: https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green, type=signifier, position=predicate, priority=0.7"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","3","2026-06-26 20:16:54,477","","[JAVA-CCRS]","2026-06-26 20:16:54,477 [JAVA-CCRS] ccrs.core.rdf.CcrsVocabulary: Compiled to FAST PATH: https://example.org/stigmark#stigmergyMarkerPattern"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","4","2026-06-26 20:16:54,483","","[JAVA-CCRS]","2026-06-26 20:16:54,483 [JAVA-CCRS] ccrs.core.rdf.CcrsVocabulary: Detected structural pattern: https://example.org/stigmark#stigmergyMarkerPattern, type=stigmergy, target=target, priority=0.8, mode=FAST PATH"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","5","2026-06-26 20:21:11,702","","[JAVA-CCRS]","2026-06-26 20:21:11,702 [JAVA-CCRS] ccrs.core.contingency.ContingencyCcrs: Creating ContingencyCcrs with default strategies"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","6","2026-06-26 20:21:11,704","","[JAVA-CCRS]","2026-06-26 20:21:11,704 [JAVA-CCRS] ccrs.core.contingency.StrategyRegistry: Registered strategy: retry"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","7","2026-06-26 20:21:11,705","","[JAVA-CCRS]","2026-06-26 20:21:11,705 [JAVA-CCRS] ccrs.core.contingency.StrategyRegistry: Registered strategy: backtrack"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","8","2026-06-26 20:21:11,708","","[JAVA-CCRS]","2026-06-26 20:21:11,708 [JAVA-CCRS] ccrs.core.contingency.StrategyRegistry: Registered strategy: stop"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","9","2026-06-26 20:21:11,732","","[JAVA-CCRS]","2026-06-26 20:21:11,732 [JAVA-CCRS] ccrs.core.contingency.ContingencyCcrsFactory: [ContingencyCcrsFactory] Loading strategy provider: ccrs.capabilities.llm.langchain4j.Langchain4jPredictionStrategyProvider"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","10","2026-06-26 20:21:12,061","","[JAVA-CCRS]","2026-06-26 20:21:12,061 [JAVA-CCRS] ccrs.core.contingency.StrategyRegistry: Registered strategy: prediction_llm"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","11","2026-06-26 20:21:12,062","","[JAVA-CCRS]","2026-06-26 20:21:12,062 [JAVA-CCRS] ccrs.capabilities.llm.langchain4j.Langchain4jPredictionStrategyProvider: [Langchain4jProvider] Registered PredictionLlmStrategy"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","12","2026-06-26 20:21:12,064","","[JAVA-CCRS]","2026-06-26 20:21:12,064 [JAVA-CCRS] ccrs.core.contingency.ContingencyCcrsFactory: [ContingencyCcrsFactory] Loading strategy provider: ccrs.capabilities.a2a.A2aConsultationStrategyProvider"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","13","2026-06-26 20:21:12,082","","[JAVA-CCRS]","2026-06-26 20:21:12,082 [JAVA-CCRS] ccrs.core.contingency.StrategyRegistry: Registered strategy: consultation"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","14","2026-06-26 20:21:12,082","","[JAVA-CCRS]","2026-06-26 20:21:12,082 [JAVA-CCRS] ccrs.capabilities.a2a.A2aConsultationStrategyProvider: [A2AProvider] Registered A2A ConsultationStrategy"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","15","2026-06-26 20:21:12,282","","[JAVA-CCRS]","2026-06-26 20:21:12,282 [JAVA-CCRS] ccrs.core.contingency.StrategyRegistry: Ordered strategies for evaluation: retry, backtrack, consultation, prediction_llm, stop"
"react-baseline-vs-ccrs-v2","800-baseline","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.java.log","16","2026-06-26 20:21:12,284","","[JAVA-CCRS]","2026-06-26 20:21:12,284 [JAVA-CCRS] ccrs.core.contingency.ContingencyCcrs: [StrategySelectionPolicy] Built strategy selection model from 0/25 requested traces, 0 strategy profiles, minimumSamplesPerStrategy=2"
