"batch_id","run_id","line","mase_run_id","type","timestamp","agent","cell","graph","transaction_id","archive_id"
"react-baseline-vs-ccrs-v2","700-baseline","4760","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568601506","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/0",,"-1","6542465"
"react-baseline-vs-ccrs-v2","700-baseline","4761","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568601511","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/0","5177","6542466"
"react-baseline-vs-ccrs-v2","700-baseline","4762","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568606320","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/0/2",,"-1","6542467"
"react-baseline-vs-ccrs-v2","700-baseline","4763","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568606322","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/0/2","5178","6542468"
"react-baseline-vs-ccrs-v2","700-baseline","4764","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568611270","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/2",,"-1","6542469"
"react-baseline-vs-ccrs-v2","700-baseline","4765","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568611287","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/1/2","5179","6542470"
"react-baseline-vs-ccrs-v2","700-baseline","4766","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568616280","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/2",,"-1","6542471"
"react-baseline-vs-ccrs-v2","700-baseline","4767","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568616282","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/2/2","5180","6542472"
"react-baseline-vs-ccrs-v2","700-baseline","4768","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568621679","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/3",,"-1","6542473"
"react-baseline-vs-ccrs-v2","700-baseline","4769","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568621684","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/2/3","5181","6542474"
"react-baseline-vs-ccrs-v2","700-baseline","4770","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568626417","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/4",,"-1","6542475"
"react-baseline-vs-ccrs-v2","700-baseline","4771","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568626419","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/2/4","5182","6542476"
"react-baseline-vs-ccrs-v2","700-baseline","4772","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568631014","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/4",,"-1","6542477"
"react-baseline-vs-ccrs-v2","700-baseline","4773","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568631029","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/1/4","5183","6542478"
"react-baseline-vs-ccrs-v2","700-baseline","4774","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568635900","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/5",,"-1","6542479"
"react-baseline-vs-ccrs-v2","700-baseline","4775","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568635914","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/1/5","5184","6542480"
"react-baseline-vs-ccrs-v2","700-baseline","4776","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568641122","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/6",,"-1","6542481"
"react-baseline-vs-ccrs-v2","700-baseline","4777","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568641124","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/1/6","5185","6542482"
"react-baseline-vs-ccrs-v2","700-baseline","4778","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568646750","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/7",,"-1","6542483"
"react-baseline-vs-ccrs-v2","700-baseline","4779","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568646752","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/1/7","5186","6542484"
"react-baseline-vs-ccrs-v2","700-baseline","4780","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568655918","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/6",,"-1","6542485"
"react-baseline-vs-ccrs-v2","700-baseline","4781","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568655920","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/1/6","5187","6542486"
"react-baseline-vs-ccrs-v2","700-baseline","4782","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568661117","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/6",,"-1","6542487"
"react-baseline-vs-ccrs-v2","700-baseline","4783","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568661119","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/2/6","5188","6542488"
"react-baseline-vs-ccrs-v2","700-baseline","4784","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568666554","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/3/6",,"-1","6542489"
"react-baseline-vs-ccrs-v2","700-baseline","4785","run-2026-06-27T13-53-38-269Z","TRANSACTION","1782568666555","react_baseline_mazeV2",,"http://127.0.1.1:8080/cells/3/6","5189","6542490"
"react-baseline-vs-ccrs-v2","700-baseline","4786","run-2026-06-27T13-53-38-269Z","AGENT_MOVED","1782568672208","http://127.0.1.1:8080/agents/react_baseline_mazeV2","http://127.0.1.1:8080/cells/3/7",,"-1","6542491"
