"batch_id","run_id","line","timestamp","agent","graph","transaction_id","trigger","status","error","rule_count","started_at","finished_at"
"react-baseline-vs-ccrs-v2","700-baseline","4761","1782568601511","react_baseline_mazeV2","http://127.0.1.1:8080/cells/0","5177","POST","COMMITTED",,"9","1782568601412","1782568601505"
"react-baseline-vs-ccrs-v2","700-baseline","4763","1782568606322","react_baseline_mazeV2","http://127.0.1.1:8080/cells/0/2","5178","POST","COMMITTED",,"9","1782568606235","1782568606318"
"react-baseline-vs-ccrs-v2","700-baseline","4765","1782568611287","react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/2","5179","POST","COMMITTED",,"9","1782568611186","1782568611270"
"react-baseline-vs-ccrs-v2","700-baseline","4767","1782568616282","react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/2","5180","POST","COMMITTED",,"9","1782568616201","1782568616279"
"react-baseline-vs-ccrs-v2","700-baseline","4769","1782568621684","react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/3","5181","POST","COMMITTED",,"9","1782568621605","1782568621683"
"react-baseline-vs-ccrs-v2","700-baseline","4771","1782568626419","react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/4","5182","POST","COMMITTED",,"9","1782568626330","1782568626417"
"react-baseline-vs-ccrs-v2","700-baseline","4773","1782568631029","react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/4","5183","POST","COMMITTED",,"9","1782568630941","1782568631016"
"react-baseline-vs-ccrs-v2","700-baseline","4775","1782568635914","react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/5","5184","POST","COMMITTED",,"9","1782568635827","1782568635903"
"react-baseline-vs-ccrs-v2","700-baseline","4777","1782568641124","react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/6","5185","POST","COMMITTED",,"9","1782568641046","1782568641118"
"react-baseline-vs-ccrs-v2","700-baseline","4779","1782568646752","react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/7","5186","POST","COMMITTED",,"9","1782568646676","1782568646751"
"react-baseline-vs-ccrs-v2","700-baseline","4781","1782568655920","react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/6","5187","POST","COMMITTED",,"9","1782568655840","1782568655920"
"react-baseline-vs-ccrs-v2","700-baseline","4783","1782568661119","react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/6","5188","POST","COMMITTED",,"9","1782568661048","1782568661116"
"react-baseline-vs-ccrs-v2","700-baseline","4785","1782568666555","react_baseline_mazeV2","http://127.0.1.1:8080/cells/3/6","5189","POST","COMMITTED",,"9","1782568666486","1782568666554"
"react-baseline-vs-ccrs-v2","700-baseline","4787","1782568672213","react_baseline_mazeV2","http://127.0.1.1:8080/cells/3/7","5190","POST","COMMITTED",,"9","1782568672130","1782568672212"
"react-baseline-vs-ccrs-v2","700-baseline","4789","1782568677914","react_baseline_mazeV2","http://127.0.1.1:8080/cells/3/8","5191","POST","COMMITTED",,"9","1782568677836","1782568677901"
"react-baseline-vs-ccrs-v2","700-baseline","4791","1782568683007","react_baseline_mazeV2","http://127.0.1.1:8080/cells/3/9","5192","POST","COMMITTED",,"9","1782568682929","1782568683003"
"react-baseline-vs-ccrs-v2","700-baseline","4793","1782568692269","react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/9","5193","POST","COMMITTED",,"9","1782568692109","1782568692231"
"react-baseline-vs-ccrs-v2","700-baseline","4795","1782568698008","react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/10","5194","POST","COMMITTED",,"9","1782568697898","1782568698005"
"react-baseline-vs-ccrs-v2","700-baseline","4797","1782568703396","react_baseline_mazeV2","http://127.0.1.1:8080/cells/1/10","5195","POST","COMMITTED",,"9","1782568703317","1782568703393"
"react-baseline-vs-ccrs-v2","700-baseline","4799","1782568711319","react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/10","5196","POST","COMMITTED",,"9","1782568711240","1782568711317"
"react-baseline-vs-ccrs-v2","700-baseline","4801","1782568716860","react_baseline_mazeV2","http://127.0.1.1:8080/cells/2/11","5197","POST","COMMITTED",,"9","1782568716780","1782568716857"
