"batch_id","run_id","move_sequence","move_cell","move_timestamp","move_line","start_action_line","start_action_timestamp","end_before_action_line","action_count","get_count","post_count","http_error_count","status_codes","action_lines","action_targets","match_quality"
"react-baseline-vs-ccrs-v2","700-baseline","1","http://127.0.1.1:8080/cells/0","1782568601506","4760","12","2026-06-27 15:56:41,408","24","2","1","1","0","201;200","12;18","http://127.0.1.1:8080/cells/0;http://127.0.1.1:8080/cells/0","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","2","http://127.0.1.1:8080/cells/0/2","1782568606320","4762","24","2026-06-27 15:56:46,208","36","2","1","1","0","201;200","24;30","http://127.0.1.1:8080/cells/0/2;http://127.0.1.1:8080/cells/0/2","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","3","http://127.0.1.1:8080/cells/1/2","1782568611270","4764","36","2026-06-27 15:56:51,183","48","2","1","1","0","201;200","36;42","http://127.0.1.1:8080/cells/1/2;http://127.0.1.1:8080/cells/1/2","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","4","http://127.0.1.1:8080/cells/2/2","1782568616280","4766","48","2026-06-27 15:56:56,183","60","2","1","1","0","201;200","48;54","http://127.0.1.1:8080/cells/2/2;http://127.0.1.1:8080/cells/2/2","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","5","http://127.0.1.1:8080/cells/2/3","1782568621679","4768","60","2026-06-27 15:57:01,581","72","2","1","1","0","201;200","60;66","http://127.0.1.1:8080/cells/2/3;http://127.0.1.1:8080/cells/2/3","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","6","http://127.0.1.1:8080/cells/2/4","1782568626417","4770","72","2026-06-27 15:57:06,304","84","2","1","1","0","201;200","72;78","http://127.0.1.1:8080/cells/2/4;http://127.0.1.1:8080/cells/2/4","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","7","http://127.0.1.1:8080/cells/1/4","1782568631014","4772","84","2026-06-27 15:57:10,925","96","2","1","1","0","201;200","84;90","http://127.0.1.1:8080/cells/1/4;http://127.0.1.1:8080/cells/1/4","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","8","http://127.0.1.1:8080/cells/1/5","1782568635900","4774","96","2026-06-27 15:57:15,824","108","2","1","1","0","201;200","96;102","http://127.0.1.1:8080/cells/1/5;http://127.0.1.1:8080/cells/1/5","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","9","http://127.0.1.1:8080/cells/1/6","1782568641122","4776","108","2026-06-27 15:57:21,030","120","2","1","1","0","201;200","108;114","http://127.0.1.1:8080/cells/1/6;http://127.0.1.1:8080/cells/1/6","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","10","http://127.0.1.1:8080/cells/1/7","1782568646750","4778","120","2026-06-27 15:57:26,663","138","3","2","1","0","201;200;200","120;126;132","http://127.0.1.1:8080/cells/1/7;http://127.0.1.1:8080/cells/1/7;http://127.0.1.1:8080/cells/1/7","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","11","http://127.0.1.1:8080/cells/1/6","1782568655918","4780","138","2026-06-27 15:57:35,836","150","2","1","1","0","201;200","138;144","http://127.0.1.1:8080/cells/1/6;http://127.0.1.1:8080/cells/1/6","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","12","http://127.0.1.1:8080/cells/2/6","1782568661117","4782","150","2026-06-27 15:57:41,043","162","2","1","1","0","201;200","150;156","http://127.0.1.1:8080/cells/2/6;http://127.0.1.1:8080/cells/2/6","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","13","http://127.0.1.1:8080/cells/3/6","1782568666554","4784","162","2026-06-27 15:57:46,479","174","2","1","1","0","201;200","162;168","http://127.0.1.1:8080/cells/3/6;http://127.0.1.1:8080/cells/3/6","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","14","http://127.0.1.1:8080/cells/3/7","1782568672208","4786","174","2026-06-27 15:57:52,127","186","2","1","1","0","201;200","174;180","http://127.0.1.1:8080/cells/3/7;http://127.0.1.1:8080/cells/3/7","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","15","http://127.0.1.1:8080/cells/3/8","1782568677904","4788","186","2026-06-27 15:57:57,810","198","2","1","1","0","201;200","186;192","http://127.0.1.1:8080/cells/3/8;http://127.0.1.1:8080/cells/3/8","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","16","http://127.0.1.1:8080/cells/3/9","1782568683004","4790","198","2026-06-27 15:58:02,911","210","2","1","1","0","201;200","198;204","http://127.0.1.1:8080/cells/3/9;http://127.0.1.1:8080/cells/3/9","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","17","http://127.0.1.1:8080/cells/2/9","1782568692232","4792","210","2026-06-27 15:58:12,103","222","2","1","1","0","201;200","210;216","http://127.0.1.1:8080/cells/2/9;http://127.0.1.1:8080/cells/2/9","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","18","http://127.0.1.1:8080/cells/2/10","1782568698005","4794","222","2026-06-27 15:58:17,892","234","2","1","1","0","201;200","222;228","http://127.0.1.1:8080/cells/2/10;http://127.0.1.1:8080/cells/2/10","target_timestamp_order"
"react-baseline-vs-ccrs-v2","700-baseline","19","http://127.0.1.1:8080/cells/1/10","1782568703394","4796","234","2026-06-27 15:58:23,312","252","3","2","1","0","201;200;200","234;240;246","http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10;http://127.0.1.1:8080/cells/1/10","target_timestamp_order"
