"batch_id","run_id","agent_name","file","line","react_event","cycle","cycle_timestamp","tool_call_id","tool_name","target","type","pattern_id","utility","entries","reason"
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","12","react.ccrs.opportunistic.evaluate","1","2026-06-26T18:16:53.141+00:00","call_kZ7AzJ0iRNKzPalcADm9C8bK","http_get",,,,,,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","15","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","16","react.ccrs.opportunistic.jvm.start",,,,,,,,,,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","20","react.ccrs.opportunistic.runtime.ready",,,,,,,,,,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","23","react.ccrs.opportunistic.no_annotations","1","2026-06-26T18:16:53.141+00:00","call_kZ7AzJ0iRNKzPalcADm9C8bK","http_get",,,,,"0",
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","33","react.ccrs.opportunistic.evaluate","2","2026-06-26T18:16:58.193+00:00","call_uS1hYSaOw8WXfE9dyctguLZp","http_post",,,,,,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","35","react.ccrs.opportunistic.skipped","2","2026-06-26T18:16:58.193+00:00","call_uS1hYSaOw8WXfE9dyctguLZp","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","45","react.ccrs.opportunistic.evaluate","3","2026-06-26T18:17:00.639+00:00","call_zDY6glrIDVyeiXz4T7fgFOVM","http_get",,,,,,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","48","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","53","react.ccrs.opportunistic.detected","3","2026-06-26T18:17:00.639+00:00","call_zDY6glrIDVyeiXz4T7fgFOVM","http_get","http://127.0.1.1:8080/cells/0/2","signifier","https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green","0.7",,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","54","react.ccrs.opportunistic.cycle_annotations","3","2026-06-26T18:17:00.639+00:00","call_zDY6glrIDVyeiXz4T7fgFOVM","http_get",,,,,"1",
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","81","react.ccrs.opportunistic.evaluate","4","2026-06-26T18:17:03.621+00:00","call_z0xFm3eA4WyIH43rOaTS1Sv6","http_post",,,,,,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","83","react.ccrs.opportunistic.skipped","4","2026-06-26T18:17:03.621+00:00","call_z0xFm3eA4WyIH43rOaTS1Sv6","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","93","react.ccrs.opportunistic.evaluate","5","2026-06-26T18:17:06.413+00:00","call_oAsgRo5b1YxRLshRdg8TtwOR","http_get",,,,,,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","96","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","101","react.ccrs.opportunistic.detected","5","2026-06-26T18:17:06.413+00:00","call_oAsgRo5b1YxRLshRdg8TtwOR","http_get","http://127.0.1.1:8080/cells/1/2","signifier","https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green","0.7",,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","102","react.ccrs.opportunistic.cycle_annotations","5","2026-06-26T18:17:06.413+00:00","call_oAsgRo5b1YxRLshRdg8TtwOR","http_get",,,,,"1",
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","129","react.ccrs.opportunistic.evaluate","6","2026-06-26T18:17:09.109+00:00","call_26xj8WQ5YgAyDNJoRZAwe3RS","http_post",,,,,,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","131","react.ccrs.opportunistic.skipped","6","2026-06-26T18:17:09.109+00:00","call_26xj8WQ5YgAyDNJoRZAwe3RS","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","141","react.ccrs.opportunistic.evaluate","7","2026-06-26T18:17:11.132+00:00","call_tXDUwz18sltL19Tabxw42dxO","http_get",,,,,,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","144","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","149","react.ccrs.opportunistic.detected","7","2026-06-26T18:17:11.132+00:00","call_tXDUwz18sltL19Tabxw42dxO","http_get","http://127.0.1.1:8080/cells/2/2","signifier","https://kaefer3000.github.io/2021-02-dagstuhl/vocab#green","0.7",,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","150","react.ccrs.opportunistic.cycle_annotations","7","2026-06-26T18:17:11.132+00:00","call_tXDUwz18sltL19Tabxw42dxO","http_get",,,,,"1",
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","177","react.ccrs.opportunistic.evaluate","8","2026-06-26T18:17:13.797+00:00","call_cdtOzTMmfF8vnuYUVxL7vKVZ","http_post",,,,,,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","179","react.ccrs.opportunistic.skipped","8","2026-06-26T18:17:13.797+00:00","call_cdtOzTMmfF8vnuYUVxL7vKVZ","http_post",,,,,,"invalid_turtle"
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","189","react.ccrs.opportunistic.evaluate","9","2026-06-26T18:17:16.478+00:00","call_VoX4LpfbNllLnQkp6AFfaNzN","http_get",,,,,,
"react-baseline-vs-ccrs-v2","800-ccrs","react_ccrs_mazeV2","react_ccrs_mazeV2_20260626_201650.log","192","react.ccrs.opportunistic.classpath.resolved",,,,,,,,,"40",
