"batch_id","zone","zone_title","zone_order","run_id","agent_name","ccrs_mode","completed","start_boundary_cell","completion_cell","first_included_cell","final_cell","first_move_sequence","final_move_sequence","log_start_exclusive_line","log_end_inclusive_line","total_move_duration_ms","total_moves","average_move_duration_ms","react_cycle_count","average_cycle_duration_ms","optimal_moves","actual_moves","move_delta_from_optimal","selection_count","followed_top_opportunistic_count","followed_any_top_guidance_count","selected_none_count","rank_unavailable_count","contingency_activation_count","opportunistic_prompt_visible_max","mapping_assumption"
"react-baseline-vs-ccrs-v2","signifier","Signifier Zone","1","700-baseline","react_baseline_mazeV2","baseline","no","","cells/13/5","cells/0","cells/5/7","1","230","","","2575577","230","11247.06","1001","2582.85","17","230",,"0","0","0","0","0","0","0","MASE movement boundaries plus React log-line windows"
"react-baseline-vs-ccrs-v2","signifier","Signifier Zone","1","800-ccrs","react_ccrs_mazeV2","ccrs","yes","","cells/13/5","cells/0","cells/13/5","1","40","","1867","275534","40","7064.97","87","3262.62","17","40","23","87","29","29","0","0","1","1","MASE movement boundaries plus React log-line windows"
"react-baseline-vs-ccrs-v2","stigmergy","Stigmergy Zone","2","700-baseline","react_baseline_mazeV2","baseline","no","cells/13/5","cells/28/14","","","","","","0",,"0",,"0",,"24","0",,"0","0","0","0","0","0","0","MASE movement boundaries plus React log-line windows"
"react-baseline-vs-ccrs-v2","stigmergy","Stigmergy Zone","2","800-ccrs","react_ccrs_mazeV2","ccrs","yes","cells/13/5","cells/28/14","cells/14/5","cells/28/14","41","64","1867","3031","156973","24","6540.54","48","3270.27","24","24","0","48","24","24","0","0","0","2","MASE movement boundaries plus React log-line windows"
"react-baseline-vs-ccrs-v2","mixed","Mixed Zone","3","700-baseline","react_baseline_mazeV2","baseline","no","cells/28/14","cells/36/37","","","","","","0",,"0",,"0",,"37","0",,"0","0","0","0","0","0","0","MASE movement boundaries plus React log-line windows"
"react-baseline-vs-ccrs-v2","mixed","Mixed Zone","3","800-ccrs","react_ccrs_mazeV2","ccrs","yes","cells/28/14","cells/36/37","cells/28/15","cells/36/37","65","145","3031","11154","1067941","81","13184.46","289","3695","37","81","44","289","74","74","80","0","4","4","MASE movement boundaries plus React log-line windows"
"react-baseline-vs-ccrs-v2","construction-site","Construction Site Zone","4","700-baseline","react_baseline_mazeV2","baseline","no","cells/36/37","cells/39/43","","","","","","0",,"0",,"0",,"19","0",,"0","0","0","0","0","0","0","MASE movement boundaries plus React log-line windows"
"react-baseline-vs-ccrs-v2","construction-site","Construction Site Zone","4","800-ccrs","react_ccrs_mazeV2","ccrs","yes","cells/36/37","cells/39/43","cells/36/38","cells/39/43","146","164","11154","12207","209207","19","11010.89","60","3486.68","19","19","0","60","4","4","1","0","0","1","MASE movement boundaries plus React log-line windows"
"react-baseline-vs-ccrs-v2","social","Social Zone","5","700-baseline","react_baseline_mazeV2","baseline","no","cells/39/43","cells/999","","","","","","0",,"0",,"0",,"19","0",,"0","0","0","0","0","0","0","MASE movement boundaries plus React log-line windows"
"react-baseline-vs-ccrs-v2","social","Social Zone","5","800-ccrs","react_ccrs_mazeV2","ccrs","yes","cells/39/43","cells/999","cells/39/44","cells/999","165","193","12207","14374","437484","29","15085.66","124","3528.18","19","29","10","124","1","1","1","0","2","1","MASE movement boundaries plus React log-line windows"
