"batch_id","run_id","agent_name","graph_name","sequence","cycle","cycle_timestamp","duration_ms","file","line","event_count","opportunistic_detected_count","opportunistic_prompt_visible_count","selection_count","contingency_event_count","contingency_guidance_event_count"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","1","0","2026-06-07T15:49:41.604+00:00",,"react_ccrs_mazeV1_01_20260607_174940.log","6","1","0","0","1","0","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","2","1","2026-06-07T15:49:45.118+00:00","3514","react_ccrs_mazeV1_01_20260607_174940.log","7","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","3","2","2026-06-07T15:49:49.152+00:00","4034","react_ccrs_mazeV1_01_20260607_174940.log","25","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","4","3","2026-06-07T15:49:50.768+00:00","1616","react_ccrs_mazeV1_01_20260607_174940.log","34","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","5","4","2026-06-07T15:49:52.735+00:00","1967","react_ccrs_mazeV1_01_20260607_174940.log","98","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","6","5","2026-06-07T15:49:54.297+00:00","1562","react_ccrs_mazeV1_01_20260607_174940.log","107","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","7","6","2026-06-07T15:49:56.325+00:00","2028","react_ccrs_mazeV1_01_20260607_174940.log","171","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","8","7","2026-06-07T15:49:57.858+00:00","1533","react_ccrs_mazeV1_01_20260607_174940.log","180","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","9","8","2026-06-07T15:50:00.008+00:00","2150","react_ccrs_mazeV1_01_20260607_174940.log","244","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","10","9","2026-06-07T15:50:01.671+00:00","1663","react_ccrs_mazeV1_01_20260607_174940.log","253","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","11","10","2026-06-07T15:50:03.647+00:00","1976","react_ccrs_mazeV1_01_20260607_174940.log","317","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","12","11","2026-06-07T15:50:05.133+00:00","1486","react_ccrs_mazeV1_01_20260607_174940.log","326","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","13","12","2026-06-07T15:50:07.181+00:00","2048","react_ccrs_mazeV1_01_20260607_174940.log","390","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","14","13","2026-06-07T15:50:09.187+00:00","2006","react_ccrs_mazeV1_01_20260607_174940.log","399","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","15","14","2026-06-07T15:50:11.613+00:00","2426","react_ccrs_mazeV1_01_20260607_174940.log","463","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","16","15","2026-06-07T15:50:17.015+00:00","5402","react_ccrs_mazeV1_01_20260607_174940.log","472","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","17","16","2026-06-07T15:50:19.033+00:00","2018","react_ccrs_mazeV1_01_20260607_174940.log","536","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","18","17","2026-06-07T15:50:20.611+00:00","1578","react_ccrs_mazeV1_01_20260607_174940.log","545","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","19","18","2026-06-07T15:50:22.768+00:00","2157","react_ccrs_mazeV1_01_20260607_174940.log","609","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","20","19","2026-06-07T15:50:24.521+00:00","1753","react_ccrs_mazeV1_01_20260607_174940.log","618","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","21","20","2026-06-07T15:50:26.753+00:00","2232","react_ccrs_mazeV1_01_20260607_174940.log","682","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","22","21","2026-06-07T15:50:28.273+00:00","1520","react_ccrs_mazeV1_01_20260607_174940.log","691","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","23","22","2026-06-07T15:50:30.880+00:00","2607","react_ccrs_mazeV1_01_20260607_174940.log","755","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","24","23","2026-06-07T15:50:33.334+00:00","2454","react_ccrs_mazeV1_01_20260607_174940.log","764","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","25","24","2026-06-07T15:50:35.545+00:00","2211","react_ccrs_mazeV1_01_20260607_174940.log","828","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","26","25","2026-06-07T15:50:37.062+00:00","1517","react_ccrs_mazeV1_01_20260607_174940.log","837","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","27","26","2026-06-07T15:50:39.212+00:00","2150","react_ccrs_mazeV1_01_20260607_174940.log","901","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","28","27","2026-06-07T15:50:41.027+00:00","1815","react_ccrs_mazeV1_01_20260607_174940.log","910","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","29","28","2026-06-07T15:50:43.708+00:00","2681","react_ccrs_mazeV1_01_20260607_174940.log","974","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","30","29","2026-06-07T15:50:45.766+00:00","2058","react_ccrs_mazeV1_01_20260607_174940.log","983","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","31","30","2026-06-07T15:50:48.142+00:00","2376","react_ccrs_mazeV1_01_20260607_174940.log","1047","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","32","31","2026-06-07T15:50:49.540+00:00","1398","react_ccrs_mazeV1_01_20260607_174940.log","1056","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","33","32","2026-06-07T15:50:51.894+00:00","2354","react_ccrs_mazeV1_01_20260607_174940.log","1120","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","34","33","2026-06-07T15:50:53.728+00:00","1834","react_ccrs_mazeV1_01_20260607_174940.log","1129","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","35","34","2026-06-07T15:50:56.168+00:00","2440","react_ccrs_mazeV1_01_20260607_174940.log","1193","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","36","35","2026-06-07T15:50:57.862+00:00","1694","react_ccrs_mazeV1_01_20260607_174940.log","1202","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","37","36","2026-06-07T15:51:03.463+00:00","5601","react_ccrs_mazeV1_01_20260607_174940.log","1266","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","38","37","2026-06-07T15:51:05.261+00:00","1798","react_ccrs_mazeV1_01_20260607_174940.log","1275","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","39","38","2026-06-07T15:51:07.478+00:00","2217","react_ccrs_mazeV1_01_20260607_174940.log","1339","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","40","39","2026-06-07T15:51:09.251+00:00","1773","react_ccrs_mazeV1_01_20260607_174940.log","1348","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","41","40","2026-06-07T15:51:11.693+00:00","2442","react_ccrs_mazeV1_01_20260607_174940.log","1363","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","42","41","2026-06-07T15:51:14.307+00:00","2614","react_ccrs_mazeV1_01_20260607_174940.log","1378","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","43","42","2026-06-07T15:51:29.328+00:00","15021","react_ccrs_mazeV1_01_20260607_174940.log","1588","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","44","43","2026-06-07T15:51:30.884+00:00","1556","react_ccrs_mazeV1_01_20260607_174940.log","1597","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","45","44","2026-06-07T15:51:33.549+00:00","2665","react_ccrs_mazeV1_01_20260607_174940.log","1661","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","46","45","2026-06-07T15:51:35.168+00:00","1619","react_ccrs_mazeV1_01_20260607_174940.log","1676","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","47","46","2026-06-07T15:51:37.115+00:00","1947","react_ccrs_mazeV1_01_20260607_174940.log","1740","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","48","47","2026-06-07T15:51:39.211+00:00","2096","react_ccrs_mazeV1_01_20260607_174940.log","1804","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","49","48","2026-06-07T15:51:41.152+00:00","1941","react_ccrs_mazeV1_01_20260607_174940.log","1819","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","50","49","2026-06-07T15:51:43.042+00:00","1890","react_ccrs_mazeV1_01_20260607_174940.log","1883","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","51","50","2026-06-07T15:51:44.927+00:00","1885","react_ccrs_mazeV1_01_20260607_174940.log","1947","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","52","51","2026-06-07T15:51:47.547+00:00","2620","react_ccrs_mazeV1_01_20260607_174940.log","1962","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","53","52","2026-06-07T15:51:49.390+00:00","1843","react_ccrs_mazeV1_01_20260607_174940.log","1971","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","54","53","2026-06-07T15:51:51.646+00:00","2256","react_ccrs_mazeV1_01_20260607_174940.log","2038","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","55","54","2026-06-07T15:51:53.456+00:00","1810","react_ccrs_mazeV1_01_20260607_174940.log","2053","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","56","55","2026-06-07T15:52:05.184+00:00","11728","react_ccrs_mazeV1_01_20260607_174940.log","2068","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","57","56","2026-06-07T15:52:07.155+00:00","1971","react_ccrs_mazeV1_01_20260607_174940.log","2135","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","58","57","2026-06-07T15:52:13.121+00:00","5966","react_ccrs_mazeV1_01_20260607_174940.log","2150","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","59","58","2026-06-07T15:52:14.904+00:00","1783","react_ccrs_mazeV1_01_20260607_174940.log","2165","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","60","59","2026-06-07T15:52:17.751+00:00","2847","react_ccrs_mazeV1_01_20260607_174940.log","2232","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","61","60","2026-06-07T15:52:27.387+00:00","9636","react_ccrs_mazeV1_01_20260607_174940.log","2247","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","62","61","2026-06-07T15:52:29.155+00:00","1768","react_ccrs_mazeV1_01_20260607_174940.log","2262","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","63","62","2026-06-07T15:52:30.917+00:00","1762","react_ccrs_mazeV1_01_20260607_174940.log","2277","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","64","63","2026-06-07T15:52:32.641+00:00","1724","react_ccrs_mazeV1_01_20260607_174940.log","2344","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","65","64","2026-06-07T15:52:34.342+00:00","1701","react_ccrs_mazeV1_01_20260607_174940.log","2359","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","66","65","2026-06-07T15:52:36.039+00:00","1697","react_ccrs_mazeV1_01_20260607_174940.log","2374","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","67","66","2026-06-07T15:52:37.780+00:00","1741","react_ccrs_mazeV1_01_20260607_174940.log","2389","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","68","67","2026-06-07T15:52:39.864+00:00","2084","react_ccrs_mazeV1_01_20260607_174940.log","2456","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","69","68","2026-06-07T15:52:42.563+00:00","2699","react_ccrs_mazeV1_01_20260607_174940.log","2523","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","70","69","2026-06-07T15:52:44.340+00:00","1777","react_ccrs_mazeV1_01_20260607_174940.log","2590","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","71","70","2026-06-07T15:52:47.132+00:00","2792","react_ccrs_mazeV1_01_20260607_174940.log","2657","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","72","71","2026-06-07T15:52:58.297+00:00","11165","react_ccrs_mazeV1_01_20260607_174940.log","2672","5","0","0","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","73","72","2026-06-07T15:53:01.548+00:00","3251","react_ccrs_mazeV1_01_20260607_174940.log","2687","7","1","1","1","2","0"
"react-ccrs-mazeV1-01-latest","001-ccrs","react_ccrs_mazeV1_01","graph_ccrs","74","73","2026-06-07T15:53:03.611+00:00","2063","react_ccrs_mazeV1_01_20260607_174940.log","2754","7","1","1","1","2","0"
